,Reviewer_designation,Job_Title,Employee_Status,City,State,Full_Location,Date,Title,Comment,Pros,Cons,User_Rating,Company
416,Warehouse Worker (Former  Employee),Warehouse Worker ,Former Employee, Wilmer, TX ," Wilmer, TX "," December 2, 2021",Productive,"Has a lot of potential for growth and pays well for entry job. Does have sucky management but often times you wont have to deal with them too much unless you look like you aren’t doing anything and fallling behind. A lot of work and walking so if youre used to that, it should fit you.",Breaks,Management,4,Amazon.com
417,Area Manager (Current  Employee),Area Manager ,Current Employee, New Jersey , New Jersey , New Jersey ," December 2, 2021",High Pace,"Very high pace, lots to do, never a slow day. It can be hectic and the hardest part is uncomfortable conversations with associates. But overall not bad.", , ,4,Amazon.com
418,Seasonal Package Handler (Former  Employee),Seasonal Package Handler ,Former Employee, Seattle, WA ," Seattle, WA "," December 2, 2021",Good job.,"I would prefer more hours but it is a good company to work for.
No real heavy lifting in some warehouses.
And plenty of work.
Always hiring.
Always allows its past employees new opportunities.", , ,5,Amazon.com
419,FC Associate I (Current  Employee),FC Associate I ,Current Employee, Oklahoma City, OK ," Oklahoma City, OK "," December 2, 2021",Not bad,The job is ok. I worked on the shipping dock it can be overwhelming sometimes just need a good amount of crew members. Then it can also be boring and long a bunch of slow days,"Pay, Free gifts, Pto, meet good people","Breaks is not set right, boring, long hours MET",5,Amazon.com
420,Fulfillment Associate (Former  Employee),Fulfillment Associate ,Former Employee, Fresno, CA ," Fresno, CA "," December 2, 2021",Amazon Work-Life Balance,"• Standard work: safety, quality, and productivity
• Experience Gained: standard work, safety protocols, logistics process, problem solving, analyzing, metrics, goal setting, policy and rules and regulations communication, how to communicate with leadership, learn by doing, lead by example, site patrolling, hygiene priority, inventory, 5s lean 6 sigma organizational skills, effective learning by being a smart student while being taught, sharing my skills
• Leadership:
• Culture:
• Con: Favoritism, Political, Unfair promotional Selection process, lack of management to align
• Pro: Benefits, Pay, Incentives, Environment, culture, leadership principles, opportunities for professional development","Benefits, Pay, Incentives, Environment, culture, leadership principles, opportunities for professional development","Favoritism, Political, Unfair promotional Selection process, lack of management to align under one company and collaborate",5,Amazon.com
421,Sr. Program Manager (Former  Employee),Sr. Program Manager ,Former Employee, Austin, TX ," Austin, TX "," December 2, 2021",Good wlb,"Great work life balance, contrary to the belief of what the media says about Amazon. Benefits are unmatched and pay is very good. However, RSUs are not transparent",Work Life Balance,"Talk the talk, but don't walk the walk",5,Amazon.com
422,Customer Service (Current  Employee),Customer Service ,Current Employee, Las Vegas, NV ," Las Vegas, NV "," December 2, 2021",Management/workplace culture/promotions,It's who you know not what you know. In order to get any help or advancement opportunity. Workplace environment is horrible you can't equipments are broken. You are held accountable if you can't make rate.,Benifits on day 1,Work conditions,1,Amazon.com
423,Picker/Packer (Former  Employee),Picker/Packer ,Former Employee, Sacramento, CA ," Sacramento, CA "," December 2, 2021",Easy to get hired.,Hard and stressful job. The amount of work expected is too great under the current expected conditions. Would not be too bad if the revaluated their expectations., , ,1,Amazon.com
424,DSP (Direct Support Professional) (Former  Employee),DSP ,Former Employee, North Las Vegas, NV ," North Las Vegas, NV "," December 2, 2021",Needs help,"Ok job, management needs improvement, nobody talks to you if your not in the department, you have to figure everything out on your own. It’s a jungle out there good luck!",Dress comfortably,You get thrown to the wolfs the first day,3,Amazon.com
425,Driver (Current  Employee),Driver ,Current Employee, West Chester, OH ," West Chester, OH "," December 2, 2021",Fun workplace,"Onboarding process was fun. Trainers made the day go fast and were very helpful. The hiring process was very easy, constantly in contact with me the entire time.", , ,5,Amazon.com
426,Warehouse Associate (Current  Employee),Warehouse Associate ,Current Employee, Surprise, AZ ," Surprise, AZ "," December 2, 2021","Productive for the most part, fast-paced.","Not a great company but not terrible. Their healthcare is pretty good and is very low cost. It is an extremely physically demanding job, they basically pay you to go to the gym for intensive workouts for 10 hrs a day/night. We work for 10 hrs and get less than an hour of breaks in total, they definitely need longer or more often breaks. Their rates are impossible to hit, managers know this and can’t hit rate themselves if they were to try, and still yell at people to hurry hurry hurry. You can’t hit or exceed rate while following safe bending procedures, it just isn’t possible.Extremely exhausting job, and you have no time/energy to do anything in the days you have off. Odd shift times too. They do pay well/decent, but it’s because if they didn’t they would have zero workers. It’s a rough job, and turnover is out the roof. Not much advancement unless you kill yourself to hit rate, since that is the determining factor of getting promoted. Overall not great place to work, but it does pay the bills so that aspect could be worse.","Decent money, good healthcare/benefits","Very few and short breaks, no A/C, long shifts, management, back-breaking work",3,Amazon.com
427,Fulfillment Associate (Current  Employee),Fulfillment Associate ,Current Employee, Lakeland, FL ," Lakeland, FL "," December 2, 2021",Fast paced,"It’s a job but very little room to grow. You go to stand up for a short briefing to listen to any announcement by your manager/pa the head immediately to work. Managers are all different, some are super chill and others are not. The hardest part is standing for long hours, the enjoyable part is the ability to make extra money by working OT",Double OT,Short breaks,3,Amazon.com
428,Fulfillment Center Associate (Current  Employee),Fulfillment Center Associate ,Current Employee, Fort Worth, TX ," Fort Worth, TX "," December 2, 2021","Great benefits, bad work policies",This is a decent entry level warehouse job but it's not the type of place to work for 5yrs or more. Production goals are too demanding and unreasonable. Managers do not really pay attention to employee concerns and problems.,"Pay, benefits","Mandatory forced overtime, pay scale and no real advancement",2,Amazon.com
